date,open,close,low,high,volume,change,h1,h2,h3,dea,dif,macd,k,d,j,qsddS,qsddM,qsddL,wrS,wrM,wrL,label1
2009-08-07,3352.66,3260.69,3244.1,3374.46,153160000,-0.028495410165269765,3358.935,3289.389,2824.861,112.639,94.269,-36.74,61.137,74.805,33.802,28.466,88.711,92.46,44.195,71.246,81.039,3249.76
2009-08-10,3287.76,3249.76,3201.06,3307.89,126683744,-0.0033520512529556126,3327.742,3293.426,2832.657,106.019,79.536,-52.966,49.048,66.219,14.705,24.868,79.835,90.473,28.98,69.8,80.085,3264.73
2009-08-11,3261.41,3264.73,3222.71,3273.02,103752296,0.004606494018019731,3309.739,3295.143,2840.585,98.471,68.28,-60.382,40.362,57.6,5.885,29.796,71.471,88.503,33.233,71.781,81.391,3112.72
2009-08-12,3255.99,3112.72,3104.56,3255.99,134447456,-0.0465612776554264,3253.448,3290.754,2845.578,88.088,46.557,-83.062,27.636,47.612,-12.316,2.185,62.106,85.471,2.185,51.312,66.962,3140.56
2009-08-13,3112.57,3140.56,3060.12,3150.36,116934224,0.008943946130715306,3221.194,3283.432,2850.991,76.716,31.228,-90.976,24.84,40.021,-5.522,19.249,53.186,82.623,19.249,54.013,69.48,3046.97
2009-08-14,3138.15,3046.97,3039.3,3146.0,125815592,-0.029800417759890004,3171.416,3271.641,2854.587,63.652,11.397,-104.511,17.143,32.395,-13.361,1.748,44.532,78.366,1.748,41.258,61.015,2870.63
2009-08-17,2994.87,2870.63,2867.39,3020.26,125058960,-0.0578738878295486,3085.477,3252.045,2854.881,47.254,-18.338,-131.184,11.608,25.466,-16.107,0.531,31.398,73.757,0.531,8.96,45.067,2910.88
2009-08-18,2845.33,2910.88,2827.11,2920.64,106251528,0.014021312394840156,3035.592,3229.26,2855.909,30.16,-38.214,-136.75,12.451,21.128,-4.903,12.87,20.803,69.215,12.87,12.87,48.707,2785.58
2009-08-19,2916.09,2785.58,2761.4,2929.06,114469472,-0.04304540207772226,2964.16,3201.355,2854.618,11.459,-63.347,-149.612,9.615,17.29,-5.735,3.374,13.415,64.152,3.374,3.374,37.375,2911.58
2009-08-20,2798.37,2911.58,2798.37,2914.64,110039080,0.04523294969090818,2949.137,3174.806,2855.663,-5.286,-72.265,-133.958,15.57,16.717,13.277,20.957,9.153,60.19,20.957,20.957,48.77,2960.77
2009-08-21,2905.05,2960.77,2883.27,2969.52,126790296,0.016894607051841287,2952.461,3151.401,2857.592,-19.129,-74.504,-110.749,23.37,18.935,32.24,27.821,12.844,56.396,27.821,27.821,53.219,2993.43
2009-08-24,2982.19,2993.43,2944.92,3004.9,122875720,0.011030914255413238,2964.166,3131.692,2860.084,-29.864,-72.804,-85.879,31.218,23.029,47.595,32.833,18.694,52.849,32.379,32.379,56.173,2915.8
2009-08-25,2980.1,2915.8,2823.64,2980.1,145236176,-0.025933460946138596,2950.347,3112.603,2861.107,-39.258,-76.835,-75.153,34.044,26.701,48.73,23.453,23.404,50.069,21.546,21.546,49.152,2967.59
2009-08-26,2889.74,2967.59,2872.26,2995.8,130425352,0.017761849235201303,2955.274,3096.042,2863.06,-46.404,-74.986,-57.165,40.566,31.322,59.054,33.633,26.653,47.28,28.773,28.773,53.836,2946.4
2009-08-27,2947.83,2946.4,2909.89,2988.03,136745904,-0.007143819921822287,2952.738,3080.958,2864.59,-51.998,-74.374,-44.752,50.867,37.837,76.925,33.852,27.379,43.687,25.816,25.816,51.92,2860.69
